Classes;Total_10_anos;Homens_10_anos;Mulheres_10_anos;Total_media_10_anos;Homens_media_10_anos;Mulheres_media_10_anos
Até 1/2 salário mínimo;8233;2581;5652;85;89;84
Mais de 1/2 a 1 salário mínimo;20775;9022;11753;278;278;279
Mais de 1 a 2 salários mínimos;25781;13877;11904;466;472;459
Mais de 2 a 3 salários mínimos;10189;6334;3855;764;766;761
Mais de 3 a 5 salários mínimos;9887;6251;3636;1193;1195;1189
Mais de 5 a 10 salários mínimos;6551;4139;2412;2184;2201;2153
Mais de 10 a 20 salários mínimos;2522;1677;844;4352;4377;4304
Mais de 20 salários mínimos;988;766;222;10556;10756;9866
Sem rendimento (2);41660;15338;26322;;;
Sem declaração;1056;627;428;;;
