Classes;Total_10_anos;Homens_10_anos;Mulheres_10_anos;Total_media_10_anos;Homens_media_10_anos;Mulheres_media_10_anos
Até 1/2 salário mínimo;4157;1429;2728;198;215;190
Mais de 1/2 a 1 salário mínimo;6753;3738;3015;708;691;729
Mais de 1 a 2 salários mínimos;4703;3032;1672;1149;1135;1173
Mais de 2 a 3 salários mínimos;1093;812;281;1907;1907;1908
Mais de 3 a 5 salários mínimos;591;469;123;2932;2936;2914
Mais de 5 a 10 salários mínimos;246;193;53;5065;5125;4845
Mais de 10 a 20 salários mínimos;53;47;6;10401;10436;10110
Mais de 20 salários mínimos;20;17;3;23475;22428;29178
Sem rendimento (2);5808;2517;3290;;;
Sem declaração;225;156;69;;;
